,Hs,Tp,depth_target,dx_to_offshore,tau_path,shoaling_gain_path,local_slope,wet_fraction,target_std
Hs,1.0,0.15551762233508226,0.04127629811359791,0.012196247138331439,-0.011457148570025616,0.006541684471163721,0.042087654558605046,-0.0054117338064847,0.8520469799835033
Tp,0.15551762233508226,1.0,-0.0010698427305438686,-0.0023548933448370754,-0.13541421446359636,0.04923240897355944,-0.04149008597670684,0.01903854147042696,0.11175523935749715
depth_target,0.04127629811359791,-0.0010698427305438686,1.0,-0.9384140948047891,-0.9442944855497525,-0.7523707662216502,0.15966652625871472,0.6334929105119097,0.3472278481114323
dx_to_offshore,0.012196247138331439,-0.0023548933448370754,-0.9384140948047891,1.0,0.9669141124265144,0.6153656247928802,-0.13214743755077027,-0.49706785049991126,-0.2569712425100725
tau_path,-0.011457148570025616,-0.13541421446359636,-0.9442944855497525,0.9669141124265144,1.0,0.6844615092051058,-0.12466744792428765,-0.5858972468263854,-0.30852137738313984
shoaling_gain_path,0.006541684471163721,0.04923240897355944,-0.7523707662216502,0.6153656247928802,0.6844615092051058,1.0,-0.13694795798822734,-0.9444023970018661,-0.349389174347327
local_slope,0.042087654558605046,-0.04149008597670684,0.15966652625871472,-0.13214743755077027,-0.12466744792428765,-0.13694795798822734,1.0,0.07255308534443818,0.01575661887881661
wet_fraction,-0.0054117338064847,0.01903854147042696,0.6334929105119097,-0.49706785049991126,-0.5858972468263854,-0.9444023970018661,0.07255308534443818,1.0,0.32420825642467527
target_std,0.8520469799835033,0.11175523935749715,0.3472278481114323,-0.2569712425100725,-0.30852137738313984,-0.349389174347327,0.01575661887881661,0.32420825642467527,1.0
