run_id,station_id,Hs,Tp,wet_fraction,target_std,rmse,corr,lag_abs_seconds
input_01170,station_00,0.298225998878479,8.163265228271484,1.0,0.0728973150253295,0.0074348183389606,0.9949940454037406,0.0
input_03646,station_00,0.3464581370353699,6.896552085876465,1.0,0.0859358981251716,0.0082406427656184,0.9958652452979678,0.0
input_04217,station_00,0.7282866835594177,12.903225898742676,1.0,0.185637816786766,0.0094034597842792,0.9975036431421622,0.0
input_04217,station_01,0.7282866835594177,12.903225898742676,1.0,0.1862789243459701,0.0095621305668447,0.997400761223558,0.0
input_04217,station_02,0.7282866835594177,12.903225898742676,1.0,0.1877491474151611,0.0102481344356625,0.9971418635245576,0.0
input_03047,station_00,0.3349111974239349,9.302325248718262,1.0,0.0831853747367858,0.0106914409709824,0.9919850140278146,0.0
input_04217,station_03,0.7282866835594177,12.903225898742676,1.0,0.1910621970891952,0.0108439010439998,0.9970344501535374,0.0
input_03646,station_01,0.3464581370353699,6.896552085876465,1.0,0.085728146135807,0.0108857440060988,0.993296284794871,0.0
input_04055,station_00,0.3279018104076385,9.302325248718262,1.0,0.0828183367848396,0.0109480811962394,0.9914292664361772,0.0
input_04055,station_00,0.3279018104076385,9.302325248718262,1.0,0.0828183367848396,0.0109480811962394,0.9914292664361772,0.0
