run_id,station_id,Hs,Tp,wet_fraction,target_std,rmse,corr,lag_abs_seconds
input_01877,station_09,1.1714705228805542,6.557376861572266,0.6675050301810865,0.0213524457067251,0.9136082414161588,-0.1903044098046283,5.4
input_03884,station_09,1.7106444835662842,10.0,0.7109283196239718,0.0220370031893253,0.8441631507307774,0.0055638560098951,10.2
input_01352,station_09,2.717297315597534,8.163265228271484,0.6491803278688525,0.0938145816326141,0.7181267189280478,0.506741520314442,3.0
input_03386,station_09,1.9448515176773071,14.285714149475098,0.660977045320777,0.0523644685745239,0.6977444750504991,0.2951816137537683,4.8
input_08708,station_09,1.1424649953842163,5.714285850524902,0.6158788435061955,0.0151864737272262,0.6355308463833652,-0.1794995422762394,31.2
input_00532,station_09,1.7784926891326904,14.285714149475098,0.9047619047619048,0.0608175806701183,0.6197064969646752,0.5203789312916126,6.6
input_00405,station_09,0.5136790871620178,8.163265228271484,0.6121898597626753,0.0658675655722618,0.6196869389827874,0.2356203212124509,1.7999999999999998
input_03813,station_09,0.5397528409957886,11.764705657958984,0.6330749354005168,0.0849686488509178,0.6008141637896738,0.3773454451379498,1.2
input_00708,station_09,3.526132106781006,10.0,0.6924896510940272,0.2324850410223007,0.5894021964234314,0.2504729497783636,7.8
input_00350,station_09,1.473184585571289,7.692307949066162,0.828099173553719,0.0779325887560844,0.5780408208062766,0.0592798358189262,12.6
