,Hs,Hs,Hs,Hs,Hs,Tp,Tp,Tp,Tp,Tp,depth_target,depth_target,depth_target,depth_target,depth_target,dx_to_offshore,dx_to_offshore,dx_to_offshore,dx_to_offshore,dx_to_offshore,tau_path,tau_path,tau_path,tau_path,tau_path,wet_fraction,wet_fraction,wet_fraction,wet_fraction,wet_fraction,target_std,target_std,target_std,target_std,target_std
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,1.0727837878368125,0.6918343572959285,0.8507083058357239,0.2274404168128967,4.396853446960449,10.466667890897487,2.3646587163127855,10.810811042785645,3.773585081100464,16.0,4.606426805385234,2.296243498018419,4.751678466796875,0.05,9.13128662109375,376.04487468528487,197.0417247580935,377.6475067138672,61.066802978515625,916.2864990234376,58.90895516492237,35.95509176301328,55.392741174422866,7.647878674203269,216.5930460120097,0.966016049578805,0.10583799988491888,1.0,0.5309259921344297,1.0,0.2338247107911517,0.13885849000693892,0.1966237723827362,0.0151864737272262,1.0091103315353394
train,1.0644869355181528,0.6594781974233686,0.8679304122924805,0.2002224326133728,4.542076110839844,10.526854672968927,2.414966009260271,10.810811042785645,3.3057849407196045,21.052631378173828,4.622368481005985,2.299100565398047,4.7620849609375,0.05,9.11016845703125,375.0209554393848,196.44488149122563,376.10194396972656,59.869415283203125,910.7666015625,58.68371334908274,35.94920028711043,54.94563999424942,7.458909585196213,242.51909411901124,0.9659496997586794,0.10684929103390586,1.0,0.5166284403669725,1.0,0.23328850054948502,0.13521688927806655,0.20022538304328916,0.006779430899769,0.9966334700584412
val,1.0610054676292884,0.6378235925123354,0.8564172685146332,0.2935360074043274,4.017608642578125,10.644669124063729,2.438047206127359,10.810811042785645,3.3057849407196045,18.18181800842285,4.619596454821135,2.298014714791909,4.78240966796875,0.05,8.8524169921875,375.16035609998204,196.4193743744953,376.23254394531256,60.98359680175781,819.9571533203125,58.56022718857918,35.91064698915622,55.02514316470338,7.602123514107681,234.97388982157668,0.9666239303056071,0.1053800554389929,1.0,0.521570796460177,1.0,0.23299359947908665,0.13268396466568905,0.1977169513702392,0.0106097040697932,0.9416772723197936
