epoch,train_total,val_total
1,0.2368,0.1779
2,0.1744,0.1617
3,0.1597,0.1473
4,0.1509,0.1406
5,0.1454,0.1307
6,0.1414,0.1369
7,0.1385,0.1328
8,0.1361,0.1274
9,0.1338,0.1238
10,0.132,0.1245
11,0.1308,0.1285
12,0.1296,0.1241
13,0.1284,0.1281
14,0.1273,0.1216
15,0.1259,0.1206
16,0.1253,0.1177
17,0.125,0.1158
18,0.1236,0.1171
19,0.1233,0.119
20,0.1226,0.1173
21,0.1218,0.1159
22,0.1217,0.1152
23,0.1212,0.1137
24,0.1207,0.1146
25,0.1201,0.1138
