model,rmse,mae,r2,corr,lag_abs_seconds,band_rel_err_0,band_rel_err_1,improvement_vs_physics_rmse_pct,improvement_vs_physics_mae_pct,improvement_vs_physics_lag_abs_seconds_pct,improvement_vs_physics_band_rel_err_0_pct,improvement_vs_physics_band_rel_err_1_pct,delta_vs_physics_corr,delta_vs_physics_r2,improvement_vs_stage2_rmse_pct,improvement_vs_stage2_mae_pct,improvement_vs_stage2_lag_abs_seconds_pct,improvement_vs_stage2_band_rel_err_0_pct,improvement_vs_stage2_band_rel_err_1_pct,delta_vs_stage2_corr,delta_vs_stage2_r2
physics_baseline,0.4228758501097489,0.3347970649658675,-27.81543175211407,0.0281926833339575,4.844411366711772,3.02929342968136,81.98944343441565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.11181494355853,-213.08616141996174,-391.8150346191888,-731.9072152335107,-19036.16290767778,-0.6556638874702443,-26.41671019652613
stage1_ridge,0.2554978809427661,0.2064268963198209,-8.618817766857466,0.1364978280498625,20.315236806495264,0.9932675624729852,1.104408969990219,39.58087678063035,38.342680411231775,-319.354081820772,67.21124626816152,98.65298638004093,0.108305144715905,19.196613985256604,-83.13750096321634,-93.04053513491257,-1962.4464226838113,-172.77200808031142,-157.76672070397595,-0.5473587427543394,-7.220096211269526
stage2_tcn,0.1395115034326495,0.1069344820120566,-1.3987215555879398,0.6838565708042018,0.9850067658998648,0.3641383767576842,0.4284528922019157,67.00887426027235,68.05991055418644,79.66715269747095,87.97942869482978,99.47742919788858,0.6556638874702443,26.41671019652613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage3_hybrid,0.0862177766339221,0.0650562698933913,-1.968542050816045,0.8906060576655717,0.2305006765899864,0.2373676279748374,0.1793694722590204,79.61156291816002,80.56844676938138,95.24192602275966,92.1642576566178,99.78122857681976,0.8624133743316141,25.846889701298025,38.20023832260933,39.16249588597964,76.59907682162876,34.81389407829605,58.135544064786124,0.20674948686136985,-0.5698204952281052
