ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01301.nc,input_01301,e911f6722d74,1042,8368,0.0,988.4824829101562,-2.44671630859375,8.61224365234375,0.0,1255.09033,0.8591271638870239,8.163265228271484,156.90000510164612,232.63996947533815,True,62,14.045
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01962.nc,input_01962,b7f0e62a84c6,938,8519,0.0,1034.41015625,-2.3990478515625,7.6229248046875,0.0,1277.71045,0.7172117829322815,9.302325248718262,159.72021961948514,270.4700892441342,True,62,12.322
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01964.nc,input_01964,26fbffc8a289,853,8068,0.0,1111.9755859375,-1.61187744140625,8.6871337890625,0.0,1210.05347,1.3700573444366455,10.810811042785645,151.26791723024894,319.7582367914217,True,62,11.377
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_00836.nc,input_00836,0c009350e88a,1011,8988,0.0,1032.2716064453125,-4.11663818359375,7.5323486328125,0.0,1348.09058,0.6392045617103577,8.69565200805664,168.5133471657582,250.40250975540772,True,62,14.064
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01971.nc,input_01971,95db90002852,1008,8815,0.0,1029.2054443359375,-3.62158203125,7.9244384765625,0.0,1322.13269,0.6656169891357422,8.69565200805664,165.27104431677014,250.40250975540772,True,62,13.747
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01983.nc,input_01983,d01e4e8bbba4,819,8170,0.0,1170.549560546875,-2.74468994140625,8.309326171875,0.0,1225.35388,0.6412996649742126,11.764705657958984,153.17382146988055,350.59248015198995,True,62,10.424
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01990.nc,input_01990,f1e64fcd7eef,875,8471,0.0,1140.6885986328125,-5.8453369140625,7.87969970703125,0.0,1270.55103,0.6535112857818604,10.810811042785645,158.82779882658855,319.7582367914217,True,62,11.484
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01993.nc,input_01993,0a8db7641593,784,8392,0.0,1237.301513671875,-3.878662109375,7.0693359375,0.0,1258.66675,0.40967443585395813,12.903225898742676,157.35063748562357,387.1505344034428,True,62,9.715
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02000.nc,input_02000,f4c74a9b01ef,812,8159,0.0,1160.53271484375,-2.56536865234375,8.03564453125,0.0,1223.72656,0.8722569942474365,11.764705657958984,152.97761829019487,350.59248015198995,True,62,10.415
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02005.nc,input_02005,02a2ed0b4e40,788,7944,0.0,1126.18896484375,-2.19818115234375,7.973876953125,0.0,1191.44995,1.6473771333694458,11.764705657958984,148.94125910913607,350.59248015198995,True,62,10.469
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01985.nc,input_01985,25056365d403,1058,8691,0.0,1003.67529296875,-2.12554931640625,7.9964599609375,0.0,1303.51392,0.5208786725997925,8.163265228271484,162.94111996584326,232.63996947533815,True,62,13.991
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02003.nc,input_02003,cbee264ea26d,818,8211,0.0,1169.11865234375,-1.961181640625,8.03582763671875,0.0,1231.57458,0.8751476407051086,11.764705657958984,153.96545951149258,350.59248015198995,True,62,10.666
