run_id,profile_hash,cache_path,source_path,n_stations,nt,dt,Hs,Tp,offshore_x,offshore_depth,trim_start
input_02435,91f29872a8d1,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02435__2825dc4871454479.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02435.nc,10,1640,0.6,1.283933162689209,12.903225898742676,499.3451843261719,8.8017578125,186.23820918472666
input_02645,1916a62e76a3,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02645__5bf605f9fac6f428.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02645.nc,10,1715,0.6,0.8945742249488831,14.285714149475098,556.2529907226562,8.27789306640625,192.67038892996234
input_02698,99b1910c7def,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02698__73ed43d8f1a31ef0.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02698.nc,10,1755,0.6,0.3618882894515991,12.903225898742676,499.3451843261719,8.0416259765625,196.02646462541657
input_02268,10103e3f05b7,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02268__d8a4beb58dcc68de.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02268.nc,10,1683,0.6,0.7417895197868347,11.764705657958984,452.1927490234375,8.40093994140625,189.85853243425504
input_02492,ae7f8e40fae9,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02492__95cee7842658491a.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02492.nc,10,1670,0.6,1.7822319269180298,11.764705657958984,452.1927490234375,8.29925537109375,188.79860879657127
input_02589,a63d16e2cc2f,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02589__26dd15ff6cc3360c.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02589.nc,10,1727,0.6,1.0584625005722046,11.764705657958984,452.1927490234375,8.076416015625,193.6713075275791
input_03123,58dd41b5fa8c,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03123__0580f6903a805ed5.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03123.nc,10,1591,0.6,0.4978720545768738,14.285714149475098,556.2529907226562,8.38629150390625,182.02221729375617
input_03151,a0397adc22b3,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03151__8b9245c1722e99d1.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03151.nc,10,1564,0.6,2.618962526321411,16.0,626.4285278320312,8.04241943359375,179.70681868591703
input_03028,1519a7b14e8f,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03028__ddd4b4913f7a1e83.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03028.nc,10,1702,0.6,0.9851787686347961,11.764705657958984,452.1927490234375,8.80108642578125,191.51418154005484
input_03175,c579f4d2e13a,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03175__00a22ba844817253.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03175.nc,10,1672,0.6,0.5335493683815002,10.810811042785645,412.4228820800781,7.71112060546875,189.00575265522627
