cache_path,run_id,profile_hash,station_id,station_rank,station_label,n_samples,duration_s,depth_target,x_target,dx_to_offshore,tau_path,shoaling_gain_path,local_slope,wet_fraction,target_std,Hs,Tp
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_00,0,h8.21m_x626.7,1630,977.3999999999907,8.211181640625,626.664794921875,70.41180419921875,8.410170114792155,1.0114516018564437,-0.008477514609694481,1.0,0.5258346796035767,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_01,1,h7.67m_x697.1,1630,977.3999999999907,7.66583251953125,697.0765380859375,140.82354736328125,17.040581317080594,1.0261737483509217,-0.0068133240565657616,1.0,0.5240938663482666,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_02,2,h7.04m_x765.7,1630,977.3999999999907,7.0413818359375,765.72802734375,209.47503662109375,25.726865398430128,1.0449363375477432,-0.007558831479400396,1.0,0.5120618343353271,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_03,3,h6.30m_x836.1,1630,977.3999999999907,6.30438232421875,836.1398315429688,279.8868408203125,35.01676142789883,1.0702732691420196,-0.015221386216580868,1.0,0.5089439749717712,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_04,4,h5.57m_x904.8,1630,977.3999999999907,5.56842041015625,904.7913208007812,348.538330078125,44.55800374304799,1.0999620164648918,-0.010644729249179363,1.0,0.49698472023010254,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_05,5,h4.93m_x973.4,1630,977.3999999999907,4.9315185546875,973.4428100585938,417.1898193359375,54.64081578992405,1.1302832424947018,-0.006345152389258146,1.0,0.46827808022499084,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_06,6,h3.82m_x1043.9,1630,977.3999999999907,3.82037353515625,1043.8546142578125,487.60162353515625,65.75064584274122,1.1981343282778423,-0.026056624948978424,1.0,0.43464019894599915,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_07,7,h3.73m_x1112.5,1630,977.3999999999907,3.72906494140625,1112.5059814453125,556.2529907226562,78.35878136695598,1.2048554636178528,0.010349850170314312,1.0,0.34614166617393494,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_08,8,h3.67m_x1182.9,1630,977.3999999999907,3.6650390625,1182.9178466796875,626.6648559570312,90.11915870301095,1.2096985186506541,-0.06135374307632446,1.0,0.2980615496635437,2.2032017707824707,14.285714149475098
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,input_00004,b0791040e0c7,station_09,9,h0.00m_x1251.6,1630,977.3999999999907,0.05,1251.5693359375,695.3163452148438,124.48121379205612,3.476834684705997,0.0,0.5754601226993865,0.0890255942940712,2.2032017707824707,14.285714149475098
